10010	IGNORE	(Cookie No HttpOnly Flag)
10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Re-examine Cache-control Directives)
10017	IGNORE	(Cross-Domain JavaScript Source File Inclusion)
10020	WARN	(X-Frame-Options Header)
10021	WARN	(X-Content-Type-Options Header Missing)
10035	WARN	(Strict-Transport-Security Header)
10036	WARN	(HTTP Server Response Header)
10037	IGNORE	(Server Leaks Information via "X-Powered-By")
10038	WARN	(Content Security Policy Header Not Set)
10039	WARN	(X-Backend-Server Header Information Leak)
10040	WARN	(Secure Pages Include Mixed Content)
10049	IGNORE	(Storable and Cacheable Content)
10055	WARN	(CSP)
10063	IGNORE	(Permissions Policy Header Not Set)
10096	IGNORE	(Timestamp Disclosure)
10098	WARN	(Cross-Domain Misconfiguration)
10109	IGNORE	(Modern Web Application)
10202	IGNORE	(Absence of Anti-CSRF Tokens)
40014	FAIL	(Cross Site Scripting - Persistent)
40012	FAIL	(Cross Site Scripting - Reflected)
40018	FAIL	(SQL Injection)
90011	WARN	(Charset Mismatch)
90022	WARN	(Application Error Disclosure)
90033	WARN	(Loosely Scoped Cookie)
